S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
642,Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),16-09-2018,ODI # 4037
643,Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,17-09-2018,ODI # 4038
644,Hong Kong,India,India,26 runs,Dubai (DSC),18-09-2018,ODI # 4039
645,India,Pakistan,India,8 wickets,Dubai (DSC),19-09-2018,ODI # 4040
646,Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,20-09-2018,ODI # 4041
647,Bangladesh,India,India,7 wickets,Dubai (DSC),21-09-2018,ODI # 4042
648,Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,21-09-2018,ODI # 4043
649,India,Pakistan,India,9 wickets,Dubai (DSC),23-09-2018,ODI # 4044
650,Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,23-09-2018,ODI # 4045
651,Afghanistan,India,tied,-,Dubai (DSC),25-09-2018,ODI # 4046
652,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,26-09-2018,ODI # 4047
653,Bangladesh,India,India,3 wickets,Dubai (DSC),28-09-2018,ODI # 4048
654,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,30-09-2018,ODI # 4049
655,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,03-10-2018,ODI # 4050
656,South Africa,Zimbabwe,South Africa,4 wickets,Paarl,06-10-2018,ODI # 4051
657,Sri Lanka,England,no result,-,Dambulla,10-10-2018,ODI # 4052
658,Sri Lanka,England,England,31 runs,Dambulla,13-10-2018,ODI # 4053
659,Sri Lanka,England,England,7 wickets,Pallekele,17-10-2018,ODI # 4054
660,Sri Lanka,England,England,18 runs,Pallekele,20-10-2018,ODI # 4055
661,India,West Indies,India,8 wickets,Guwahati,21-10-2018,ODI # 4056
662,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,21-10-2018,ODI # 4057
663,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),23-10-2018,ODI # 4058
664,India,West Indies,tied,-,Visakhapatnam,24-10-2018,ODI # 4059
665,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,24-10-2018,ODI # 4060
666,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,26-10-2018,ODI # 4061
667,India,West Indies,West Indies,43 runs,Pune,27-10-2018,ODI # 4062
668,India,West Indies,India,224 runs,Brabourne,29-10-2018,ODI # 4063
669,India,West Indies,India,9 wickets,Thiruvananthapuram,01-11-2018,ODI # 4064
670,Australia,South Africa,South Africa,6 wickets,Perth,04-11-2018,ODI # 4065
671,New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,07-11-2018,ODI # 4066
672,Australia,South Africa,Australia,7 runs,Adelaide,09-11-2018,ODI # 4067
673,New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,09-11-2018,ODI # 4068
674,Australia,South Africa,South Africa,40 runs,Hobart,11-11-2018,ODI # 4069
675,New Zealand,Pakistan,no result,-,Dubai (DSC),11-11-2018,ODI # 4070
676,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,09-12-2018,ODI # 4071
677,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,11-12-2018,ODI # 4072
678,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,14-12-2018,ODI # 4073
679,Australia,Pakistan,Australia,92 runs,Brisbane,13-01-2017,ODI # 3817
680,Australia,Pakistan,Pakistan,6 wickets,Melbourne,15-01-2017,ODI # 3818
681,India,England,India,3 wickets,Pune,15-01-2017,ODI # 3819
682,Australia,Pakistan,Australia,7 wickets,Perth,19-01-2017,ODI # 3820
683,India,England,India,15 runs,Cuttack,19-01-2017,ODI # 3821
684,Australia,Pakistan,Australia,86 runs,Sydney,22-01-2017,ODI # 3822
685,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,22-01-2017,ODI # 3823
686,India,England,England,5 runs,Eden Gardens,22-01-2017,ODI # 3824
687,U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),24-01-2017,ODI # 3825
688,Australia,Pakistan,Australia,57 runs,Adelaide,26-01-2017,ODI # 3826
